Sorting Algorithm,Array Length,Attempt,Time (microseconds)
bubble,100,1,58
bubble,100,2,45
bubble,100,3,43
bubble,100,4,41
bubble,100,5,41
bubble,200,1,193
bubble,200,2,144
bubble,200,3,144
bubble,200,4,161
bubble,200,5,279
bubble,400,1,563
bubble,400,2,572
bubble,400,3,594
bubble,400,4,645
bubble,400,5,661
bubble,800,1,2426
bubble,800,2,2416
bubble,800,3,2863
bubble,800,4,3151
bubble,800,5,2426
selection,100,1,19
selection,100,2,19
selection,100,3,18
selection,100,4,18
selection,100,5,19
selection,200,1,58
selection,200,2,57
selection,200,3,55
selection,200,4,55
selection,200,5,64
selection,400,1,237
selection,400,2,412
selection,400,3,261
selection,400,4,233
selection,400,5,253
selection,800,1,905
selection,800,2,893
selection,800,3,974
selection,800,4,917
selection,800,5,5301
insertion,100,1,9
insertion,100,2,8
insertion,100,3,8
insertion,100,4,8
insertion,100,5,8
insertion,200,1,27
insertion,200,2,28
insertion,200,3,27
insertion,200,4,26
insertion,200,5,26
insertion,400,1,100
insertion,400,2,100
insertion,400,3,99
insertion,400,4,100
insertion,400,5,121
insertion,800,1,411
insertion,800,2,412
insertion,800,3,414
insertion,800,4,424
insertion,800,5,422
quick,100,1,11
quick,100,2,9
quick,100,3,9
quick,100,4,9
quick,100,5,9
quick,200,1,20
quick,200,2,35
quick,200,3,19
quick,200,4,19
quick,200,5,28
quick,400,1,46
quick,400,2,46
quick,400,3,46
quick,400,4,46
quick,400,5,52
quick,800,1,92
quick,800,2,93
quick,800,3,92
quick,800,4,92
quick,800,5,95
